Timestamp,PoorQuality,Attention,Meditation,Blink
21:36:56.181,96,48,94,0
21:36:56.700,38,50,79,0
21:36:57.200,32,10,21,0
21:36:57.701,97,63,27,1
21:36:58.202,16,23,46,1
21:36:58.719,38,71,70,0
21:36:59.237,57,53,54,1
21:36:59.743,81,46,96,1
21:37:00.245,85,55,43,1
21:37:00.746,19,97,60,0
21:37:01.246,40,12,64,0
21:37:01.747,71,88,85,0
21:37:02.247,81,30,29,1
21:37:02.761,16,31,80,0
21:37:03.262,16,31,80,0
21:37:03.763,40,77,82,0
21:37:04.263,70,47,69,1
21:37:04.768,81,98,94,0
21:37:05.277,62,17,30,1
21:37:05.778,92,57,94,1
21:37:06.278,29,33,15,1
21:37:06.779,2,13,49,1
21:37:07.279,1,26,17,0
21:37:07.795,29,87,19,0
21:37:08.295,97,33,42,1
21:37:08.796,8,48,80,1
21:37:09.304,32,4,96,1
21:37:09.820,39,20,3,1
21:37:10.321,59,33,96,1
21:37:10.821,70,13,6,0
21:37:11.321,70,13,6,0
21:37:11.823,86,23,85,1
21:37:12.327,21,40,46,1
21:37:12.843,46,6,8,1
21:37:13.426,52,17,63,1
21:37:13.926,14,88,55,1
21:37:14.427,17,48,75,1
21:37:14.990,23,30,14,0
21:37:15.494,30,82,89,1
21:37:15.995,56,30,64,0
21:37:16.500,61,49,32,1
21:37:17.006,3,33,66,0
21:37:17.517,7,57,41,0
21:37:18.031,27,77,93,0
21:37:18.532,76,41,27,1
21:37:19.035,15,94,80,0
21:37:19.621,87,32,67,1
21:37:20.122,78,60,86,1
21:37:20.622,80,6,25,0
21:37:21.124,97,84,32,1
21:37:21.624,52,52,90,0
