Timestamp,PoorQuality,Attention,Meditation,Blink
21:50:34.035,56,53,62,0
21:50:34.551,98,24,60,0
21:50:35.052,31,11,59,0
21:50:35.552,50,97,84,1
21:50:36.053,30,87,3,1
21:50:36.553,30,87,3,1
21:50:37.054,7,2,95,1
21:50:37.555,63,60,39,0
21:50:38.055,21,19,69,1
21:50:38.556,79,0,30,1
21:50:39.056,32,67,65,1
21:50:39.557,83,5,11,1
21:50:40.058,63,16,92,1
21:50:40.558,39,9,43,1
21:50:41.059,73,82,13,0
21:50:41.559,14,97,45,1
21:50:42.060,23,73,66,0
21:50:42.560,98,64,96,0
21:50:43.060,46,17,92,0
21:50:43.561,46,17,92,0
21:50:44.062,18,27,65,1
21:50:44.562,93,84,85,0
21:50:45.062,78,21,55,0
21:50:45.563,40,96,53,0
21:50:46.065,95,77,20,1
21:50:46.577,26,22,79,0
21:50:47.088,31,92,90,1
21:50:47.591,20,79,24,0
21:50:48.095,95,37,2,0
